section_number,section_title,chunk_count,earliest_created_at,latest_created_at
NVIC 00-11 §4,Index of Navigation and Vessel Inspection Circulars — BACKGROUND. A Navigation and Vessel Inspection Circular (NVIC) provides detailed,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 00-11 §5,Index of Navigation and Vessel Inspection Circulars — DISCUSSION.,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 00-11 §6,Index of Navigation and Vessel Inspection Circulars — PROCEDURES. Current NVICs issued prior to the 00-11 Index are available in paper form,43,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-01 §1,"Inspection of amphibious passenger carrying vehicles. — Calculate the reserve buoyancy of the vehicle; at most, the length of",1,2026-04-07 03:29:23.760326+00,2026-04-07 03:29:23.760326+00
NVIC 01-01 §2,Inspection of amphibious passenger carrying vehicles. — Calculate the head distance. (Example: The head for the shaft housing,1,2026-04-07 03:29:23.760326+00,2026-04-07 03:29:23.760326+00
NVIC 01-01 §3,Inspection of amphibious passenger carrying vehicles. — Determine largest hole diameter in inches. (Example: Calculate the,6,2026-04-07 03:29:23.760326+00,2026-04-07 03:29:26.020214+00
NVIC 01-01 §4,Inspection of amphibious passenger carrying vehicles. — Stuffing Box,19,2026-04-07 03:29:23.760326+00,2026-04-07 03:29:23.760326+00
NVIC 01-01 §5,Inspection of amphibious passenger carrying vehicles. — Adjust the simple hole flooding rate to account for the reduced flow,7,2026-04-07 03:29:23.760326+00,2026-04-07 03:29:26.020214+00
NVIC 01-04 §1,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Criteria for Review: Owners/operators applications to the STEP will be evaluated using,2,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §10,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Applications for Vessels with Existing BWT Systems: Although STEP has been,1,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §11,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Equivalency Period with Experimental and Monitoring Phases: The,2,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §12,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Sample Timeline for the Acceptance Process and Equivalency Period:,2,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §2,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — ACTION.,3,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §3,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Conditions of Acceptance:,2,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §4,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — BACKGROUND. The unintentional introduction of non-indigenous species (NIS),3,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §5,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Application Package Submission: The acceptance process begins with the,3,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §6,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Independent Review: The purpose of the independent review is to ensure that,1,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §7,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Program Capacity: The Coast Guard expects to be able to review at least six,1,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §8,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Acceptance into the STEP: Criteria and conditions of acceptance are described in,1,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-04 §9,Shipboard Technology Evaluation Program (STEP) Experimental Ballast Water Treatment Systems. — Conditions of Acceptance: General conditions of acceptance are explained in,1,2026-04-07 03:29:21.651039+00,2026-04-07 03:29:21.651039+00
NVIC 01-07 §1,Guidance on vessel and facility response plans in relation to Oil Spill Removal Organization (OSRO) resource movements during significant pollution events. — Upon receipt of a request to revise a Port Specific Annex to a Vessel,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-07 §2,Guidance on vessel and facility response plans in relation to Oil Spill Removal Organization (OSRO) resource movements during significant pollution events. — Commandant (CG-3RPP) should make appropriate notifications to the,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-07 §3,Guidance on vessel and facility response plans in relation to Oil Spill Removal Organization (OSRO) resource movements during significant pollution events. — If OSROs are unable to locate commercial resources to “back fill” their,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-07 §4,Guidance on vessel and facility response plans in relation to Oil Spill Removal Organization (OSRO) resource movements during significant pollution events. — In the case where an OSRO’s alternate coverage proposal does not address,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-07 §5,Guidance on vessel and facility response plans in relation to Oil Spill Removal Organization (OSRO) resource movements during significant pollution events. — DISCUSSION.,7,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-07 §6,"Guidance on vessel and facility response plans in relation to Oil Spill Removal Organization (OSRO) resource movements during significant pollution events. — DISCLAIMER. This document provides guidance to Coast Guard units, vessel and facility",3,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-07 §7,"Guidance on vessel and facility response plans in relation to Oil Spill Removal Organization (OSRO) resource movements during significant pollution events. — In the event that an OSRO is unable to maintain, or obtain, the required response",1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-07 §8,Guidance on vessel and facility response plans in relation to Oil Spill Removal Organization (OSRO) resource movements during significant pollution events. — The OSRO should inform its plan holders of any action taken by the Coast Guard,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §1,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Pre-Filing. The Pre-Filing period is a period established by FERC in which LNG facility,4,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §10,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Yes No N/A,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §11,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Yes No N/A,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §12,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Yes No N/A Does the WSA identify the points or areas along the transit route,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §13,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Yes No N/A,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §14,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Yes No N/A,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §15,"Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Yes No N/A Does the WSA show high density population areas (>9,000 persons",1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §2,"Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Characterization of the LNG Facility, LNG Vessel Routes, and LNG Vessels. This",10,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §3,"Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Commission Order. After the FEIS has been issued, FERC’s Commissioners will meet to",4,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §4,"Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Construction. Construction of the LNG facility could take a number of years, typically 3 or",3,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §5,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Based on my review of the WSA completed on (date) and input from state and local port,3,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §6,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Additional Information.,8,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §7,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — The resources necessary to implement those measures are available and actually capable,3,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §8,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Yes No N/A addition to those listed in the Sandia report and the Risk,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-11 §9,Guidance Related to Waterfront Liquefied Natural Gas (LNG) Facilities — Yes No N/A,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §1,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — A reduction in manning shall be established based upon satisfactory results of:,2,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §10,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Approval of a vessel’s enrollment in the Under Water In Lieu of Drydock,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §11,"Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Approvals of safety equipment, materials, installations, and qualifications",1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §12,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Coordinate with CG-5P-TI and CG-CVC.,3,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §16,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Annual examination/servicing records for lifesaving (e.g. per MSC.1/Circ.,7,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §2,"Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — The period of proven operation and reliability (i.e., trial period) referred to in",1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §20,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Procedures and Arrangements Manual (P&A) (as appropriate for tank,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §22,"Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Crew documentation: All USCG issued Merchant Mariner Credentials,",1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §26,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Evidence of a valid Certificate of Financial Responsibility (COFR) (as,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §27,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Details for 46 U.S.C. 4901 compliance.,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §3,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — At the conclusion of the trial period the MI will review the machinery logs,26,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §4,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Invalidation or revocation of one or more of the vessel’s international,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §5,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — DISCUSSION. Enclosures (1) through (4) contain guidance outlining the process for foreign,5,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §6,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — A pattern of two or more port state control detentions and/or U.S. control,1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §7,Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Conduct inspection of the vessel for compliance with international,2,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-13 §8,"Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Evaluate all required ISM documents, required manuals, and shipboard",1,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
