fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
94-6813,Announcement of Global Positioning System (GPS) Initial Operational Capability (IOC) and Its Impact on Vessel Carriage Requirement Regulations,1994-03-23,,https://www.federalregister.gov/documents/1994/03/23/94-6813/announcement-of-global-positioning-system-gps-initial-operational-capability-ioc-and-its-impact-on,,none,Uncategorized Document,Marine Safety Information Bulletin
94-11978,"Differential Global Positioning System, Northeast Atlantic Region; Environmental Assessment.",1994-05-17,,https://www.federalregister.gov/documents/1994/05/17/94-11978/differential-global-positioning-system-northeast-atlantic-region-environmental-assessment,,none,Uncategorized Document,Marine Safety Information Bulletin
94-20026,"Differential Global Positioning System, St. Marys River/Lake Huron Corridor Region; Environmental Assessment",1994-08-16,,https://www.federalregister.gov/documents/1994/08/16/94-20026/differential-global-positioning-system-st-marys-riverlake-huron-corridor-region-environmental,,none,Uncategorized Document,Marine Safety Information Bulletin
94-20787,"Differential Global Positioning System, Lake Superior Corridor Region; Environmental Assessment",1994-08-24,,https://www.federalregister.gov/documents/1994/08/24/94-20787/differential-global-positioning-system-lake-superior-corridor-region-environmental-assessment,,none,Uncategorized Document,Marine Safety Information Bulletin
94-26314,"Differential Global Positioning System, Pacific Corridor Region; Environmental Assessment",1994-10-24,,https://www.federalregister.gov/documents/1994/10/24/94-26314/differential-global-positioning-system-pacific-corridor-region-environmental-assessment,,none,Uncategorized Document,Marine Safety Information Bulletin
95-433,Hybrid PFDs; Establishment of Approval Requirements,1995-01-09,https://www.govinfo.gov/content/pkg/FR-1995-01-09/pdf/95-433.pdf,https://www.federalregister.gov/documents/1995/01/09/95-433/hybrid-pfds-establishment-of-approval-requirements,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
95-2093,"Differential Global Positioning System, Atlantic Intercoastal Region; Environmental Assessment",1995-01-27,https://www.govinfo.gov/content/pkg/FR-1995-01-27/pdf/95-2093.pdf,https://www.federalregister.gov/documents/1995/01/27/95-2093/differential-global-positioning-system-atlantic-intercoastal-region-environmental-assessment,,www.govinfo.gov,Notice,Marine Safety Information Bulletin
95-15076,Approval of Inflatable Personal Flotation Devices (PFDs) for Recreational Boaters,1995-06-23,https://www.govinfo.gov/content/pkg/FR-1995-06-23/pdf/95-15076.pdf,https://www.federalregister.gov/documents/1995/06/23/95-15076/approval-of-inflatable-personal-flotation-devices-pfds-for-recreational-boaters,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
95-17876,"Differential Global Positioning System; Brunswick, Maine: Environmental Assessment and Finding",1995-07-20,https://www.govinfo.gov/content/pkg/FR-1995-07-20/pdf/95-17876.pdf,https://www.federalregister.gov/documents/1995/07/20/95-17876/differential-global-positioning-system-brunswick-maine-environmental-assessment-and-finding,,www.govinfo.gov,Notice,Marine Safety Information Bulletin
95-20944,"Differential Global Positioning System; Youngstown, New York: Environmental Assessment and Finding of No Significant Impact",1995-08-24,https://www.govinfo.gov/content/pkg/FR-1995-08-24/pdf/95-20944.pdf,https://www.federalregister.gov/documents/1995/08/24/95-20944/differential-global-positioning-system-youngstown-new-york-environmental-assessment-and-finding-of,,www.govinfo.gov,Notice,Marine Safety Information Bulletin
95-26900,Navigation Safety Equipment for Towing Vessels,1995-11-03,https://www.govinfo.gov/content/pkg/FR-1995-11-03/pdf/95-26900.pdf,https://www.federalregister.gov/documents/1995/11/03/95-26900/navigation-safety-equipment-for-towing-vessels,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
95-27867,National Preparedness for Response Exercise Program (PREP),1995-11-13,https://www.govinfo.gov/content/pkg/FR-1995-11-13/pdf/95-27867.pdf,https://www.federalregister.gov/documents/1995/11/13/95-27867/national-preparedness-for-response-exercise-program-prep,,www.govinfo.gov,Notice,Marine Safety Information Bulletin
96-213,Small Passenger Vessel Inspection and Certification,1996-01-10,https://www.govinfo.gov/content/pkg/FR-1996-01-10/pdf/96-213.pdf,https://www.federalregister.gov/documents/1996/01/10/96-213/small-passenger-vessel-inspection-and-certification,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
96-7302,Approval of Inflatable Personal Flotation Devices (PFDs) for Recreational Boaters,1996-03-28,https://www.govinfo.gov/content/pkg/FR-1996-03-28/pdf/96-7302.pdf,https://www.federalregister.gov/documents/1996/03/28/96-7302/approval-of-inflatable-personal-flotation-devices-pfds-for-recreational-boaters,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
96-14865,"Differential Global Positioning System; Geiger Key, Florida: Environmental Assessment and Finding",1996-06-12,https://www.govinfo.gov/content/pkg/FR-1996-06-12/pdf/96-14865.pdf,https://www.federalregister.gov/documents/1996/06/12/96-14865/differential-global-positioning-system-geiger-key-florida-environmental-assessment-and-finding,,www.govinfo.gov,Notice,Marine Safety Information Bulletin
96-30935,"Differential Global Positioning System; Geiger Key, Florida: Environmental Assessment and Finding.",1996-12-05,https://www.govinfo.gov/content/pkg/FR-1996-12-05/pdf/96-30935.pdf,https://www.federalregister.gov/documents/1996/12/05/96-30935/differential-global-positioning-system-geiger-key-florida-environmental-assessment-and-finding,,www.govinfo.gov,Notice,Marine Safety Information Bulletin
97-11897,Inflatable Liferafts,1997-05-09,https://www.govinfo.gov/content/pkg/FR-1997-05-09/pdf/97-11897.pdf,https://www.federalregister.gov/documents/1997/05/09/97-11897/inflatable-liferafts,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
