fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
94-5277,Licensing of Officers and Operators for Mobile Offshore Drilling Units,1994-03-08,,https://www.federalregister.gov/documents/1994/03/08/94-5277/licensing-of-officers-and-operators-for-mobile-offshore-drilling-units,,none,Uncategorized Document,policy letter
94-7541,"Class II Civil Penalties Under the Federal Water Pollution Control Act and the Comprehensive Environmental Response, Compensation and Liability Act",1994-03-30,,https://www.federalregister.gov/documents/1994/03/30/94-7541/class-ii-civil-penalties-under-the-federal-water-pollution-control-act-and-the-comprehensive,,none,Uncategorized Document,policy letter
94-8370,Simplified Alternative Procedure for Resolving Civil Penalty Cases,1994-04-07,,https://www.federalregister.gov/documents/1994/04/07/94-8370/simplified-alternative-procedure-for-resolving-civil-penalty-cases,,none,Uncategorized Document,policy letter
94-8837,Louisiana Offshore Oil Port: Expansion of Deepwater Port Safety Zone Boundaries,1994-04-13,,https://www.federalregister.gov/documents/1994/04/13/94-8837/louisiana-offshore-oil-port-expansion-of-deepwater-port-safety-zone-boundaries,,none,Uncategorized Document,policy letter
94-9413,Application for Recertification of Cook Inlet Regional Citizens' Advisory Council,1994-04-19,,https://www.federalregister.gov/documents/1994/04/19/94-9413/application-for-recertification-of-cook-inlet-regional-citizens-advisory-council,,none,Uncategorized Document,policy letter
94-10177,Recreational Vessel Fees,1994-04-29,,https://www.federalregister.gov/documents/1994/04/29/94-10177/recreational-vessel-fees,,none,Uncategorized Document,policy letter
94-10854,Application for Recertification of Prince William Sound Regional Citizens' Advisory Council,1994-05-05,,https://www.federalregister.gov/documents/1994/05/05/94-10854/application-for-recertification-of-prince-william-sound-regional-citizens-advisory-council,,none,Uncategorized Document,policy letter
94-10853,Expanded Hull Identification Number and New Requirements for Certificates of Origin,1994-05-06,,https://www.federalregister.gov/documents/1994/05/06/94-10853/expanded-hull-identification-number-and-new-requirements-for-certificates-of-origin,,none,Uncategorized Document,policy letter
94-13538,Proof of Commitment To Employ Aboard U.S. Merchant Vessels,1994-06-03,,https://www.federalregister.gov/documents/1994/06/03/94-13538/proof-of-commitment-to-employ-aboard-us-merchant-vessels,,none,Uncategorized Document,policy letter
94-15391,Annual Certification of Cook Inlet Regional Citizens' Advisory Council,1994-06-24,,https://www.federalregister.gov/documents/1994/06/24/94-15391/annual-certification-of-cook-inlet-regional-citizens-advisory-council,,none,Uncategorized Document,policy letter
94-15390,"Safety Zone; Cape Fear River, Wilmington, NC",1994-06-28,,https://www.federalregister.gov/documents/1994/06/28/94-15390/safety-zone-cape-fear-river-wilmington-nc,,none,Uncategorized Document,policy letter
94-16034,Financial Responsibility for Water Pollution (Vessels); Final Rule,1994-07-01,,https://www.federalregister.gov/documents/1994/07/01/94-16034/financial-responsibility-for-water-pollution-vessels-final-rule,,none,Rule,policy letter
94-18790,Vessel Bridge-to-Bridge Radiotelephone Regulations: Inland Waterways Navigation Regulations,1994-08-05,,https://www.federalregister.gov/documents/1994/08/05/94-18790/vessel-bridge-to-bridge-radiotelephone-regulations-inland-waterways-navigation-regulations,,none,Uncategorized Document,policy letter
