fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
94-7101,Small Passenger Vessel Inspection and Certification; Announcement of Public Hearings,1994-03-25,,https://www.federalregister.gov/documents/1994/03/25/94-7101/small-passenger-vessel-inspection-and-certification-announcement-of-public-hearings,,none,Uncategorized Document,NVIC
94-15688,Coast Guard Wooden Boat Inspection Workshop,1994-06-29,,https://www.federalregister.gov/documents/1994/06/29/94-15688/coast-guard-wooden-boat-inspection-workshop,,none,Uncategorized Document,Navigation and Vessel Inspection Circular
94-16034,Financial Responsibility for Water Pollution (Vessels); Final Rule,1994-07-01,,https://www.federalregister.gov/documents/1994/07/01/94-16034/financial-responsibility-for-water-pollution-vessels-final-rule,,none,Rule,Navigation and Vessel Inspection Circular
94-23019,International Management Code for the Safe Operation of Ships and for Pollution Prevention,1994-09-16,,https://www.federalregister.gov/documents/1994/09/16/94-23019/international-management-code-for-the-safe-operation-of-ships-and-for-pollution-prevention,,none,Uncategorized Document,Navigation and Vessel Inspection Circular
94-23893,Towing Safety Advisory Committee,1994-09-27,,https://www.federalregister.gov/documents/1994/09/27/94-23893/towing-safety-advisory-committee,,none,Uncategorized Document,NVIC
94-31241,Commercial Fishing Industry Vessel Advisory Committee; Meeting,1994-12-20,,https://www.federalregister.gov/documents/1994/12/20/94-31241/commercial-fishing-industry-vessel-advisory-committee-meeting,,none,Uncategorized Document,Navigation and Vessel Inspection Circular
95-2648,Alternate Compliance for Inspection and Certification of Certain U.S. Flag Commercial Vessels,1995-02-03,https://www.govinfo.gov/content/pkg/FR-1995-02-03/pdf/95-2648.pdf,https://www.federalregister.gov/documents/1995/02/03/95-2648/alternate-compliance-for-inspection-and-certification-of-certain-us-flag-commercial-vessels,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
95-3428,Withholding of Vessel Clearances or Permits; Identification of Satisfactory Sureties in Lieu of Clearance or Permit Denial,1995-02-10,https://www.govinfo.gov/content/pkg/FR-1995-02-10/pdf/95-3428.pdf,https://www.federalregister.gov/documents/1995/02/10/95-3428/withholding-of-vessel-clearances-or-permits-identification-of-satisfactory-sureties-in-lieu-of,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
95-5573,Double Hull Standards for Vessels Carrying Oil in Bulk,1995-03-10,https://www.govinfo.gov/content/pkg/FR-1995-03-10/pdf/95-5573.pdf,https://www.federalregister.gov/documents/1995/03/10/95-5573/double-hull-standards-for-vessels-carrying-oil-in-bulk,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
95-6034,Direct User Fees for Inspection or Examination of U.S. and Foreign Commercial Vessels,1995-03-13,https://www.govinfo.gov/content/pkg/FR-1995-03-13/pdf/95-6034.pdf,https://www.federalregister.gov/documents/1995/03/13/95-6034/direct-user-fees-for-inspection-or-examination-of-us-and-foreign-commercial-vessels,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
95-11302,Adequacy of Barge and Tug Navigation Lights,1995-05-09,https://www.govinfo.gov/content/pkg/FR-1995-05-09/pdf/95-11302.pdf,https://www.federalregister.gov/documents/1995/05/09/95-11302/adequacy-of-barge-and-tug-navigation-lights,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
95-13268,National Vessel Traffic Services Regulations,1995-05-31,https://www.govinfo.gov/content/pkg/FR-1995-05-31/pdf/95-13268.pdf,https://www.federalregister.gov/documents/1995/05/31/95-13268/national-vessel-traffic-services-regulations,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
95-24672,"International Management Code for the Safe Operation of Ships and for Pollution Prevention, (ISM) Code",1995-10-05,https://www.govinfo.gov/content/pkg/FR-1995-10-05/pdf/95-24672.pdf,https://www.federalregister.gov/documents/1995/10/05/95-24672/international-management-code-for-the-safe-operation-of-ships-and-for-pollution-prevention-ism-code,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
95-25714,Adequacy of Barge and Tug Navigation Lights,1995-10-17,https://www.govinfo.gov/content/pkg/FR-1995-10-17/pdf/95-25714.pdf,https://www.federalregister.gov/documents/1995/10/17/95-25714/adequacy-of-barge-and-tug-navigation-lights,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
95-26900,Navigation Safety Equipment for Towing Vessels,1995-11-03,https://www.govinfo.gov/content/pkg/FR-1995-11-03/pdf/95-26900.pdf,https://www.federalregister.gov/documents/1995/11/03/95-26900/navigation-safety-equipment-for-towing-vessels,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
95-27185,Operational Measures To Reduce Oil Spills From Existing Tank Vessels Without Double Hulls,1995-11-03,https://www.govinfo.gov/content/pkg/FR-1995-11-03/pdf/95-27185.pdf,https://www.federalregister.gov/documents/1995/11/03/95-27185/operational-measures-to-reduce-oil-spills-from-existing-tank-vessels-without-double-hulls,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
95-27870,Offshore Supply Vessels,1995-11-16,https://www.govinfo.gov/content/pkg/FR-1995-11-16/pdf/95-27870.pdf,https://www.federalregister.gov/documents/1995/11/16/95-27870/offshore-supply-vessels,,www.govinfo.gov,Rule,Navigation and Vessel Inspection Circular
95-29048,"Chemical Transportation Advisory Committee (CTAC), CTAC Subcommittee on Hazardous Substances Response Plan (HSRP); Meetings",1995-11-28,https://www.govinfo.gov/content/pkg/FR-1995-11-28/pdf/95-29048.pdf,https://www.federalregister.gov/documents/1995/11/28/95-29048/chemical-transportation-advisory-committee-ctac-ctac-subcommittee-on-hazardous-substances-response,,www.govinfo.gov,Notice,Navigation and Vessel Inspection Circular
95-31371,Structural Measures To Reduce Oil Spills From Existing Tank Vessels Without Double Hulls,1995-12-28,https://www.govinfo.gov/content/pkg/FR-1995-12-28/pdf/95-31371.pdf,https://www.federalregister.gov/documents/1995/12/28/95-31371/structural-measures-to-reduce-oil-spills-from-existing-tank-vessels-without-double-hulls,,www.govinfo.gov,Proposed Rule,Navigation and Vessel Inspection Circular
